Geneid	Chr	Start	End	Strand	Length	TSS
ENSG00000236407	1	80283352	80283970	+	619	80283352.0
ENSG00000225598	1	80373364	80373758	-	580	80373758.0
ENSG00000213559	1	80451083	80452004	-	922	80452004.0
ENSG00000227062	1	80464301	80464718	-	418	80464718.0
ENSG00000234108	1	80495903	80496233	+	331	80495903.0
ENSG00000224326	1	80534978	80535252	-	349	80535252.0
ENSG00000234184	1	80535755	80535942	+	709	80535755.0
ENSG00000227937	1	81080790	81081171	+	382	81080790.0
ENSG00000229752	1	81098267	81099005	-	739	81099005.0
ENSG00000235089	1	81208568	81209210	+	643	81208568.0
ENSG00000223026	1	81251789	81252096	+	308	81251789.0
ENSG00000117114	1	81306160	81306509	+	7754	81306160.0
ENSG00000224494	1	81426456	81427605	+	1150	81426456.0
ENSG00000227288	1	81501794	81503468	+	1675	81501794.0
ENSG00000227960	1	81505099	81505134	+	343	81505099.0
ENSG00000234953	1	81513880	81514045	-	643	81514045.0
ENSG00000242598	1	81557121	81557373	-	521	81557373.0
ENSG00000236676	1	81585941	81586377	-	641	81586377.0
ENSG00000234683	1	81596157	81596506	-	350	81596506.0
ENSG00000215875	1	81721693	81722005	+	1065	81721693.0
ENSG00000233290	1	82215220	82215772	-	671	82215772.0
ENSG00000230817	1	82903183	82903823	+	1878	82903183.0
ENSG00000236268	1	82973882	82975118	-	1586	82975118.0
ENSG00000231364	1	83445967	83446674	+	1044	83445967.0
ENSG00000233008	1	83575776	83578672	-	5425	83578672.0
ENSG00000237076	1	83790280	83790442	+	683	83790280.0
ENSG00000137941	1	83865028	83870082	-	10543	83870082.0
ENSG00000233061	1	83979118	83981569	-	2921	83981569.0
ENSG00000229486	1	84015865	84016025	-	1401	84016025.0
ENSG00000271576	1	84076331	84077931	-	1601	84077931.0
ENSG00000142875	1	84078062	84078371	+	6730	84078062.0
ENSG00000213540	1	84085741	84086233	+	493	84085741.0
ENSG00000226970	1	84244334	84244577	+	244	84244334.0
ENSG00000199959	1	84277321	84277457	+	137	84277321.0
ENSG00000203943	1	84298366	84298567	+	3455	84298366.0
ENSG00000249237	1	84344678	84345273	+	905	84344678.0
ENSG00000240520	1	84365428	84365497	-	911	84365497.0
ENSG00000137976	1	84398532	84398689	+	1476	84398532.0
ENSG00000117133	1	84479259	84479509	+	1728	84479259.0
ENSG00000174021	1	84498325	84498548	-	1112	84498548.0
ENSG00000122432	1	84506291	84506418	+	3687	84506291.0
ENSG00000117151	1	84549606	84555199	-	6939	84555199.0
ENSG00000180869	1	84628230	84630887	-	2884	84630887.0
ENSG00000232622	1	84636158	84636258	-	247	84636258.0
ENSG00000117155	1	84643707	84647607	-	8639	84647607.0
ENSG00000171517	1	84811602	84814171	-	3543	84814171.0
ENSG00000153898	1	84925583	84926721	-	3442	84926721.0
ENSG00000162643	1	84999147	84999338	+	3923	84999147.0
ENSG00000055732	1	85018082	85019257	-	6623	85019257.0
ENSG00000266110	1	85133794	85133873	+	80	85133794.0
ENSG00000280099	1	85152487	85154203	-	1717	85154203.0
ENSG00000097096	1	85156873	85159249	-	6451	85159249.0
ENSG00000162642	1	85249953	85252702	-	3420	85252702.0
ENSG00000223254	1	85264296	85264402	+	107	85264296.0
ENSG00000142867	1	85266248	85267982	-	2819	85267982.0
ENSG00000223653	1	85276715	85276797	+	2277	85276715.0
ENSG00000153904	1	85318481	85321568	-	4572	85321568.0
ENSG00000199459	1	85435175	85435284	-	110	85435284.0
ENSG00000273264	1	85467295	85467660	+	366	85467295.0
ENSG00000282057	1	85482281	85482524	-	3607	85482524.0
ENSG00000272691	1	85578500	85578742	-	243	85578742.0
ENSG00000142871	1	85580761	85581047	+	2455	85580761.0
ENSG00000199934	1	85592280	85592356	+	77	85592280.0
ENSG00000230285	1	85599131	85599231	+	255	85599131.0
ENSG00000117174	1	85649423	85654098	-	6197	85654098.0
ENSG00000171502	1	85729233	85730692	-	9568	85730692.0
ENSG00000201620	1	85883680	85883798	-	119	85883798.0
ENSG00000229505	1	86029854	86030589	+	736	86029854.0
ENSG00000122417	1	86346824	86352208	-	10898	86352208.0
ENSG00000278281	1	86357632	86357687	-	56	86357687.0
ENSG00000231349	1	86404176	86404866	-	691	86404866.0
ENSG00000137975	1	86424086	86424433	+	4496	86424086.0
ENSG00000016490	1	86468368	86468458	+	3340	86468368.0
ENSG00000016602	1	86547078	86547278	+	3447	86547078.0
ENSG00000224466	1	86552625	86553342	-	718	86553342.0
ENSG00000236915	1	86571181	86571408	-	522	86571408.0
ENSG00000153923	1	86634273	86634452	+	3437	86634273.0
ENSG00000261737	1	86703502	86704462	-	961	86704462.0
ENSG00000097033	1	86704570	86704971	+	6881	86704570.0
ENSG00000230721	1	86784913	86785467	+	555	86784913.0
ENSG00000183291	1	86862445	86863605	-	2103	86863605.0
ENSG00000153936	1	86914648	86915160	+	7429	86914648.0
ENSG00000267734	1	86932199	86932464	-	746	86932464.0
ENSG00000267561	1	86993009	86993127	+	2013	86993009.0
ENSG00000235251	1	87044935	87045871	-	937	87045871.0
ENSG00000225568	1	87045875	87046700	+	826	87045875.0
ENSG00000267272	1	87129765	87129994	+	6717	87129765.0
ENSG00000143013	1	87328468	87329244	+	5833	87328468.0
ENSG00000227290	1	87353524	87353867	-	889	87353867.0
ENSG00000199318	1	87453240	87453373	-	134	87453373.0
ENSG00000279778	1	87805286	87808372	-	3087	87808372.0
ENSG00000224235	1	87899909	87900241	-	787	87900241.0
ENSG00000270507	1	88313153	88313302	+	150	88313153.0
ENSG00000239504	1	88477828	88478114	-	287	88478114.0
ENSG00000230053	1	88498309	88498676	-	368	88498676.0
ENSG00000274321	1	88520000	88520170	+	171	88520000.0
ENSG00000237505	1	88537513	88540659	-	3593	88540659.0
ENSG00000237959	1	88577880	88578201	+	322	88577880.0
ENSG00000065243	1	88684222	88684628	+	6897	88684222.0
ENSG00000207234	1	88816779	88816885	+	107	88816779.0
ENSG00000241975	1	88829102	88829419	+	318	88829102.0
ENSG00000137947	1	88852932	88853346	-	2225	88853346.0
ENSG00000235308	1	88923370	88923844	+	475	88923370.0
ENSG00000137944	1	88935773	88936245	-	2306	88936245.0
ENSG00000213516	1	88979456	88984066	-	5087	88984066.0
ENSG00000117226	1	89006666	89007852	-	4297	89007852.0
ENSG00000202385	1	89020246	89020365	-	120	89020365.0
ENSG00000117228	1	89052319	89053468	-	4992	89053468.0
ENSG00000234518	1	89104285	89104767	-	483	89104767.0
ENSG00000162645	1	89106132	89107052	-	6276	89107052.0
ENSG00000213512	1	89131751	89132403	-	2454	89132403.0
ENSG00000162654	1	89181148	89185469	-	6127	89185469.0
ENSG00000237568	1	89260582	89260748	+	324	89260582.0
ENSG00000154451	1	89258950	89260817	-	8143	89260817.0
ENSG00000238081	1	89289676	89290337	-	662	89290337.0
ENSG00000233235	1	89324522	89324766	+	797	89324522.0
ENSG00000183347	1	89364058	89364127	+	2987	89364058.0
ENSG00000215874	1	89394033	89394665	+	633	89394033.0
ENSG00000225492	1	89407679	89407758	+	2352	89407679.0
ENSG00000197147	1	89524836	89525022	+	7691	89524836.0
ENSG00000231999	1	89583241	89583424	-	2088	89583424.0
ENSG00000230735	1	89629725	89629782	+	437	89629725.0
ENSG00000171488	1	89633072	89633322	+	11724	89633072.0
ENSG00000271949	1	89633140	89633322	+	654	89633140.0
ENSG00000226394	1	89661212	89661353	-	142	89661353.0
ENSG00000231613	1	89788914	89788982	+	509	89788914.0
ENSG00000272931	1	89820174	89820868	-	695	89820868.0
ENSG00000171492	1	89821014	89821291	+	4852	89821014.0
ENSG00000272672	1	89939601	89940147	+	547	89939601.0
ENSG00000252797	1	89987713	89987944	-	232	89987944.0
ENSG00000228175	1	89993593	89994321	-	729	89994321.0
ENSG00000162664	1	89995112	89995273	+	10984	89995112.0
ENSG00000212459	1	90253456	90253559	-	104	90253559.0
ENSG00000229201	1	90510910	90510985	-	231	90510985.0
ENSG00000199666	1	90657750	90657964	+	215	90657750.0
ENSG00000143032	1	90711539	90712624	-	1979	90712624.0
ENSG00000233593	1	90782983	90783423	-	4212	90783423.0
ENSG00000225446	1	90851759	90852279	+	1547	90851759.0
ENSG00000272094	1	90860550	90861364	-	879	90861364.0
ENSG00000232882	1	90892992	90893612	-	621	90893612.0
ENSG00000122482	1	90915298	90916990	-	7604	90916990.0
ENSG00000232393	1	91023919	91024804	+	886	91023919.0
ENSG00000162669	1	91260766	91261359	-	5827	91261359.0
ENSG00000206817	1	91261625	91261724	+	100	91261625.0
ENSG00000215873	1	91328369	91329513	+	1145	91328369.0
ENSG00000097046	1	91500893	91500948	+	3557	91500893.0
ENSG00000241318	1	91534666	91535593	-	928	91535593.0
ENSG00000229067	1	91600171	91600321	+	151	91600171.0
ENSG00000203914	1	91642516	91644082	+	1567	91642516.0
ENSG00000069702	1	91680343	91683857	-	8705	91683857.0
ENSG00000239794	1	91829774	91830066	-	293	91830066.0
ENSG00000137948	1	91949371	91949682	+	4334	91949371.0
ENSG00000172031	1	92029982	92030310	+	2251	92029982.0
ENSG00000233228	1	92066306	92067839	+	1534	92066306.0
ENSG00000230667	1	92074533	92075411	-	909	92075411.0
ENSG00000189195	1	92080305	92080720	+	6879	92080305.0
ENSG00000224678	1	92114803	92115796	-	994	92115796.0
ENSG00000233401	1	92125301	92126462	+	1162	92125301.0
ENSG00000069712	1	92167857	92167985	+	4065	92167857.0
ENSG00000273487	1	92189237	92189645	+	1293	92189237.0
ENSG00000226773	1	92203148	92203991	+	844	92203148.0
ENSG00000203910	1	92217940	92218048	+	1061	92217940.0
ENSG00000233125	1	92229018	92229435	-	418	92229435.0
ENSG00000174842	1	92246402	92246646	-	2910	92246646.0
ENSG00000122484	1	92298965	92299146	+	17142	92298965.0
ENSG00000242764	1	92402389	92402685	-	297	92402685.0
ENSG00000162676	1	92474762	92476207	-	3301	92476207.0
ENSG00000067208	1	92508696	92513970	-	8276	92513970.0
ENSG00000223787	1	92580476	92580821	-	346	92580821.0
ENSG00000229992	1	92647048	92647630	-	583	92647630.0
ENSG00000201317	1	92700819	92700934	-	116	92700934.0
ENSG00000225505	1	92732000	92732615	+	797	92732000.0
ENSG00000234202	1	92749175	92749330	-	156	92749330.0
ENSG00000223896	1	92755794	92756956	+	1163	92755794.0
ENSG00000122406	1	92832025	92832117	+	2890	92832025.0
ENSG00000154511	1	92832737	92833034	-	3091	92833034.0
ENSG00000206680	1	92837289	92837383	+	95	92837289.0
ENSG00000207523	1	92840719	92840851	+	133	92840719.0
ENSG00000207022	1	92846059	92846182	+	124	92846059.0
ENSG00000229052	1	92930696	92934098	+	3403	92930696.0
ENSG00000252121	1	92969604	92969710	-	107	92969710.0
ENSG00000239710	1	92974827	92975114	-	288	92975114.0
ENSG00000252752	1	93010257	93010351	+	95	93010257.0
ENSG00000222664	1	93026252	93026542	+	291	93026252.0
ENSG00000251837	1	93027410	93027506	-	97	93027506.0
ENSG00000143033	1	93079235	93079531	+	5909	93079235.0
ENSG00000117500	1	93149742	93154888	-	9423	93154888.0
ENSG00000122483	1	93179919	93180418	+	5633	93179919.0
ENSG00000237003	1	93190740	93191060	-	321	93191060.0
ENSG00000225297	1	93199755	93199939	-	185	93199939.0
ENSG00000223745	1	93262186	93262361	-	4786	93262361.0
ENSG00000229567	1	93278961	93279129	-	169	93279129.0
ENSG00000117505	1	93345888	93346865	+	10949	93345888.0
ENSG00000229635	1	93384487	93384998	-	512	93384998.0
ENSG00000207379	1	93385711	93385817	+	107	93385711.0
ENSG00000137942	1	93448131	93448305	+	5798	93448131.0
ENSG00000212601	1	93488333	93488452	-	120	93488452.0
ENSG00000137936	1	93561786	93562419	-	5042	93562419.0
ENSG00000224093	1	93592199	93592508	+	1954	93592199.0
ENSG00000230439	1	93752924	93754346	-	1671	93754346.0
ENSG00000211575	1	93846832	93846911	+	80	93846832.0
ENSG00000260464	1	93847174	93848939	+	1766	93847174.0
ENSG00000067334	1	93866283	93869944	-	7519	93869944.0
ENSG00000023909	1	93885205	93889159	-	5420	93889159.0
ENSG00000223490	1	93921268	93921667	-	400	93921667.0
ENSG00000234099	1	93922574	93923540	-	1058	93923540.0
ENSG00000235794	1	93924386	93924716	-	331	93924716.0
ENSG00000232752	1	93924743	93925385	-	643	93925385.0
ENSG00000229842	1	93925406	93926072	-	667	93926072.0
ENSG00000250890	1	93926032	93926188	-	157	93926188.0
ENSG00000236689	1	93926615	93927113	-	677	93927113.0
ENSG00000226960	1	93927714	93928302	-	589	93928302.0
ENSG00000233129	1	93934479	93935244	-	766	93935244.0
ENSG00000198691	1	93992835	93993242	-	8201	93993242.0
ENSG00000233482	1	94145111	94145213	+	352	94145111.0
ENSG00000137962	1	94148988	94150515	-	15524	94150515.0
ENSG00000264963	1	94150738	94151080	+	343	94150738.0
ENSG00000226835	1	94247866	94248039	+	980	94247866.0
ENSG00000178596	1	94302038	94303022	+	985	94302038.0
ENSG00000236098	1	94318479	94318907	-	592	94318907.0
ENSG00000232918	1	94406395	94406882	-	488	94406882.0
ENSG00000117528	1	94418455	94418588	+	7519	94418455.0
ENSG00000117525	1	94529225	94530596	-	2875	94530596.0
ENSG00000223675	1	94585556	94586762	-	2171	94586762.0
ENSG00000224081	1	94613814	94617071	-	10245	94617071.0
ENSG00000232857	1	94650544	94651378	-	835	94651378.0
ENSG00000263526	1	94745860	94745900	-	41	94745900.0
ENSG00000143036	1	94820342	94820478	+	2869	94820342.0
ENSG00000117519	1	94896949	94898083	-	2838	94898083.0
ENSG00000235501	1	94927566	94927625	+	1012	94927566.0
ENSG00000172339	1	94974407	94983306	-	9633	94983306.0
ENSG00000230427	1	95061596	95062189	+	1096	95061596.0
ENSG00000152078	1	95117338	95117617	+	7402	95117338.0
ENSG00000271092	1	95117923	95118091	+	1961	95117923.0
ENSG00000231992	1	95120147	95120286	+	420	95120147.0
ENSG00000206679	1	95125511	95125609	-	99	95125609.0
ENSG00000226026	1	95163219	95165198	-	2505	95165198.0
ENSG00000122481	1	95234155	95234315	+	1982	95234155.0
ENSG00000228852	1	95243167	95243525	-	1418	95243525.0
ENSG00000228504	1	95310928	95311193	-	382	95311193.0
ENSG00000230434	1	95351251	95351629	-	602	95351629.0
ENSG00000237954	1	95356229	95356477	-	879	95356477.0
ENSG00000233907	1	95474737	95475175	+	2755	95474737.0
ENSG00000228971	1	95510116	95510362	+	2182	95510116.0
ENSG00000271252	1	95743096	95743202	+	287	95743096.0
ENSG00000237435	1	95937901	95938045	+	2240	95937901.0
ENSG00000200800	1	96225901	96226060	+	160	96225901.0
ENSG00000231987	1	96254069	96255750	-	1994	96255750.0
ENSG00000225923	1	96390652	96391393	+	742	96390652.0
ENSG00000234422	1	96418594	96418933	+	340	96418594.0
ENSG00000228502	1	96446930	96448318	+	1389	96446930.0
ENSG00000241992	1	96583209	96583527	+	319	96583209.0
ENSG00000234226	1	96584422	96584727	-	306	96584727.0
ENSG00000137970	1	96678874	96679620	-	747	96679620.0
ENSG00000223229	1	96695856	96696167	-	312	96696167.0
ENSG00000117569	1	96721665	96721872	+	12937	96721665.0
ENSG00000188641	1	97077743	97079146	-	6443	97079146.0
ENSG00000232878	1	97095923	97095986	+	1479	97095923.0
ENSG00000232542	1	97394154	97394419	-	401	97394419.0
ENSG00000228057	1	97545701	97546958	+	1258	97545701.0
ENSG00000226128	1	97585862	97586294	+	433	97585862.0
ENSG00000230718	1	97774669	97775026	+	358	97774669.0
ENSG00000235777	1	97796921	97797295	+	974	97796921.0
ENSG00000270911	1	97855575	97856825	+	1251	97855575.0
ENSG00000269998	1	97933474	97934169	-	870	97934169.0
ENSG00000259946	1	97967005	97968814	-	1810	97968814.0
ENSG00000225206	1	97986740	97989569	-	6006	97989569.0
ENSG00000233557	1	98077000	98077468	+	469	98077000.0
ENSG00000226053	1	98210747	98210810	+	2229	98210747.0
ENSG00000280040	1	98660388	98661059	-	672	98661059.0
ENSG00000162627	1	98661701	98661911	+	2067	98661701.0
ENSG00000117598	1	98890245	98893104	-	4571	98893104.0
ENSG00000232825	1	99004276	99004645	+	2544	99004276.0
ENSG00000227034	1	99008218	99008474	+	257	99008218.0
ENSG00000117600	1	99263953	99264671	+	5540	99263953.0
ENSG00000233983	1	99464378	99464776	+	399	99464378.0
ENSG00000224445	1	99472332	99472649	-	1045	99472649.0
ENSG00000099260	1	99645943	99646362	+	8244	99645943.0
ENSG00000223656	1	99698242	99698654	+	572	99698242.0
ENSG00000156869	1	99708703	99709120	-	3868	99709120.0
ENSG00000201491	1	99784740	99784885	-	146	99784885.0
ENSG00000202254	1	99791662	99791753	+	92	99791662.0
ENSG00000231996	1	99842610	99842761	+	152	99842610.0
ENSG00000162688	1	99850084	99850415	+	8434	99850084.0
ENSG00000283495	1	99861472	99861713	+	4548	99861472.0
ENSG00000228084	1	99968383	99968477	-	655	99968477.0
ENSG00000117620	1	99969789	99970162	+	14899	99969789.0
ENSG00000212248	1	99978939	99979045	+	107	99978939.0
ENSG00000202259	1	100000637	100000739	-	103	100000739.0
ENSG00000156875	1	100038097	100038316	+	2943	100038097.0
ENSG00000241073	1	100057990	100058081	-	384	100058081.0
ENSG00000156876	1	100083563	100085434	-	3972	100085434.0
ENSG00000226952	1	100099239	100099490	+	252	100099239.0
ENSG00000122435	1	100133150	100133315	+	4133	100133150.0
ENSG00000122477	1	100148449	100149097	-	1991	100149097.0
ENSG00000137992	1	100186919	100196422	-	11303	100196422.0
ENSG00000271415	1	100196816	100197051	+	236	100196816.0
ENSG00000225169	1	100213293	100213670	+	378	100213293.0
ENSG00000230287	1	100249090	100249311	+	222	100249090.0
ENSG00000224616	1	100264009	100264031	-	423	100264031.0
ENSG00000137996	1	100266207	100266420	+	3037	100266207.0
ENSG00000207750	1	100281241	100281308	+	68	100281241.0
ENSG00000215871	1	100331804	100332617	-	814	100332617.0
ENSG00000223906	1	100344477	100344592	+	467	100344477.0
ENSG00000079335	1	100345025	100345183	+	5579	100345025.0
ENSG00000234332	1	100393033	100393657	-	674	100393657.0
ENSG00000228086	1	100462399	100462908	-	592	100462908.0
ENSG00000181656	1	100538137	100538502	+	3491	100538137.0
ENSG00000213421	1	100586649	100587431	-	783	100587431.0
ENSG00000230402	1	100627049	100627302	-	497	100627302.0
ENSG00000224685	1	100651947	100652267	+	321	100651947.0
ENSG00000162692	1	100719742	100719924	+	6049	100719742.0
ENSG00000162694	1	100872372	100874430	-	4834	100874430.0
ENSG00000273204	1	100894928	100895356	+	429	100894928.0
ENSG00000162695	1	100896076	100896342	+	8376	100896076.0
ENSG00000230946	1	100941017	100941995	-	979	100941995.0
ENSG00000117543	1	100989623	100990631	-	2970	100990631.0
ENSG00000235795	1	100995473	100995519	+	671	100995473.0
ENSG00000233184	1	101025878	101026061	+	2840	101025878.0
ENSG00000252765	1	101133153	101133339	+	187	101133153.0
ENSG00000271578	1	101190520	101190994	+	475	101190520.0
ENSG00000225938	1	101235683	101235881	-	403	101235881.0
ENSG00000170989	1	101236888	101237099	+	3071	101236888.0
ENSG00000260940	1	101243158	101243749	+	592	101243158.0
ENSG00000228399	1	101256274	101256616	+	343	101256274.0
ENSG00000173810	1	101270875	101271363	-	489	101271363.0
ENSG00000231671	1	101323337	101323466	+	1238	101323337.0
ENSG00000226715	1	101639548	101639703	+	1586	101639548.0
ENSG00000252530	1	101728642	101728737	-	96	101728737.0
ENSG00000183298	1	101786340	101787219	-	880	101787219.0
ENSG00000118733	1	101802574	101804915	-	4483	101804915.0
ENSG00000252717	1	101859851	101859957	+	107	101859851.0
ENSG00000271277	1	101882516	101882894	+	379	101882516.0
ENSG00000162699	1	101893105	101894047	+	943	101893105.0
ENSG00000233359	1	102199739	102199997	-	657	102199997.0
ENSG00000230864	1	102763322	102763505	-	931	102763505.0
ENSG00000060718	1	102876467	102878165	-	8281	102878165.0
ENSG00000234257	1	103100143	103100704	-	562	103100704.0
ENSG00000230759	1	103414879	103414935	+	418	103414879.0
ENSG00000224613	1	103418079	103418224	-	638	103418224.0
ENSG00000222069	1	103523562	103523879	+	318	103523562.0
ENSG00000185946	1	103525691	103526262	+	6867	103525691.0
ENSG00000240038	1	103553815	103555109	+	7491	103553815.0
ENSG00000236085	1	103569553	103570674	+	1122	103569553.0
ENSG00000243480	1	103616811	103617059	+	1898	103616811.0
ENSG00000237763	1	103655290	103655928	+	2505	103655290.0
ENSG00000234441	1	103668071	103668268	-	198	103668268.0
ENSG00000174876	1	103687415	103687638	-	2334	103687638.0
ENSG00000227408	1	103713723	103713953	+	1023	103713723.0
ENSG00000187733	1	103750406	103750637	+	1632	103750406.0
ENSG00000225191	1	103926567	103927806	+	1240	103926567.0
ENSG00000215869	1	104072983	104073904	+	3146	104072983.0
ENSG00000228347	1	104153306	104153830	-	525	104153830.0
ENSG00000225036	1	105433994	105434821	+	828	105433994.0
ENSG00000230768	1	105587575	105587848	-	2997	105587848.0
ENSG00000227850	1	105698039	105698218	+	180	105698039.0
ENSG00000237897	1	105890693	105890972	-	593	105890972.0
ENSG00000232952	1	105891739	105893517	+	1779	105891739.0
ENSG00000233047	1	105927624	105927714	-	2960	105927714.0
ENSG00000237480	1	105956694	105956847	+	8646	105956694.0
ENSG00000230932	1	106080801	106081379	-	579	106081379.0
ENSG00000270342	1	106544342	106544744	-	403	106544744.0
ENSG00000270976	1	106780223	106780435	+	213	106780223.0
ENSG00000233449	1	106802755	106803427	-	673	106803427.0
ENSG00000232551	1	106804474	106806032	-	1559	106806032.0
ENSG00000237460	1	106818239	106818359	+	708	106818239.0
ENSG00000198890	1	107056679	107059294	+	2616	107056679.0
ENSG00000162631	1	107140007	107140199	+	9138	107140007.0
ENSG00000224550	1	107505203	107505448	+	246	107505203.0
ENSG00000134215	1	107571160	107573372	-	7271	107573372.0
ENSG00000275455	1	107897223	107897304	+	82	107897223.0
ENSG00000230489	1	107964443	107964504	+	619	107964443.0
ENSG00000226822	1	108040263	108040379	+	3711	108040263.0
ENSG00000085491	1	108134036	108136837	-	6548	108136837.0
ENSG00000260879	1	108199926	108201491	+	1566	108199926.0
ENSG00000280186	1	108200413	108202743	+	2331	108200413.0
ENSG00000196427	1	108223341	108223746	-	2586	108223746.0
ENSG00000238122	1	108261196	108262790	-	2481	108262790.0
ENSG00000241361	1	108272943	108273321	+	1882	108272943.0
ENSG00000243967	1	108375838	108375981	+	1606	108375838.0
ENSG00000186086	1	108376119	108376296	+	2764	108376119.0
ENSG00000238118	1	108383736	108383894	-	510	108383894.0
ENSG00000224698	1	108420689	108421574	+	2481	108420689.0
ENSG00000283354	1	108495475	108495633	-	285	108495633.0
ENSG00000227832	1	108502358	108503455	+	1098	108502358.0
ENSG00000226483	1	108508574	108509243	+	670	108508574.0
ENSG00000162636	1	108560089	108560565	+	9355	108560089.0
ENSG00000162639	1	108648290	108648991	-	2426	108648991.0
ENSG00000134186	1	108692323	108692867	+	5817	108692323.0
ENSG00000143107	1	108712657	108712996	+	3332	108712657.0
ENSG00000232971	1	108734256	108734460	-	386	108734460.0
ENSG00000116266	1	108746674	108746786	+	5895	108746674.0
ENSG00000228076	1	108766841	108767584	-	744	108767584.0
ENSG00000162641	1	108815898	108816302	-	4915	108816302.0
ENSG00000274068	1	108837660	108837706	-	557	108837706.0
ENSG00000203897	1	108857217	108857501	+	608	108857217.0
ENSG00000121957	1	108875350	108875382	+	8099	108875350.0
ENSG00000121940	1	108929508	108932501	-	4964	108932501.0
ENSG00000085433	1	108970214	108971572	-	4423	108971572.0
ENSG00000237349	1	108986963	108987245	-	283	108987245.0
ENSG00000244716	1	108992282	108992836	+	555	108992282.0
ENSG00000228665	1	109030067	109030319	+	253	109030067.0
ENSG00000228054	1	109046828	109047482	+	655	109046828.0
ENSG00000197780	1	109062486	109063072	-	1400	109063072.0
ENSG00000215717	1	109089803	109090882	+	4574	109089803.0
ENSG00000273382	1	109087971	109090858	-	2888	109090858.0
ENSG00000278249	1	109100193	109100612	+	420	109100193.0
ENSG00000270066	1	109100193	109100619	+	427	109100193.0
ENSG00000251484	1	109103535	109103671	-	609	109103671.0
ENSG00000179902	1	109105951	109106098	-	1235	109106098.0
ENSG00000116299	1	109113679	109113915	+	9300	109113679.0
ENSG00000031698	1	109213918	109214128	+	3836	109213918.0
ENSG00000143126	1	109250019	109253389	+	12349	109250019.0
ENSG00000134222	1	109279556	109280156	-	2855	109280156.0
ENSG00000221986	1	109292365	109292588	-	1789	109292588.0
ENSG00000134243	1	109309568	109314057	-	9160	109314057.0
ENSG00000143106	1	109399031	109402090	-	5724	109402090.0
ENSG00000143028	1	109466628	109466897	+	3963	109466628.0
ENSG00000162650	1	109483479	109484080	+	5232	109483479.0
ENSG00000174151	1	109494052	109494154	+	5690	109494052.0
ENSG00000181754	1	109504175	109508999	-	5144	109508999.0
ENSG00000156097	1	109539872	109539953	+	5057	109539872.0
ENSG00000254942	1	109539906	109540053	-	582	109540053.0
ENSG00000065135	1	109548611	109548838	+	27174	109548611.0
ENSG00000206832	1	109591534	109591640	-	107	109591640.0
ENSG00000225113	1	109596225	109596398	+	596	109596225.0
ENSG00000134183	1	109603267	109603544	-	1381	109603544.0
ENSG00000116337	1	109616104	109616235	+	6823	109616104.0
ENSG00000228703	1	109628417	109628834	-	688	109628834.0
ENSG00000235045	1	109651370	109652099	+	730	109651370.0
ENSG00000168765	1	109656081	109656425	+	5460	109656081.0
ENSG00000213366	1	109668022	109668151	+	9116	109668022.0
ENSG00000134184	1	109687814	109687909	+	2512	109687814.0
ENSG00000260246	1	109693117	109693466	-	491	109693466.0
ENSG00000134201	1	109712255	109712348	+	6013	109712255.0
ENSG00000241720	1	109725820	109726068	+	808	109725820.0
ENSG00000134202	1	109733932	109737169	-	4750	109737169.0
ENSG00000198758	1	109750080	109750402	-	3477	109750402.0
ENSG00000224927	1	109810642	109810998	-	357	109810998.0
ENSG00000228420	1	109828355	109828451	+	476	109828355.0
ENSG00000235005	1	109884176	109884585	-	450	109884585.0
ENSG00000261055	1	109895973	109897861	+	1889	109895973.0
ENSG00000184371	1	109910242	109910427	+	5418	109910242.0
ENSG00000168710	1	109984686	109985172	+	5113	109984686.0
ENSG00000143093	1	110031577	110031640	+	7352	110031577.0
ENSG00000258634	1	110058340	110062555	+	4216	110058340.0
ENSG00000156150	1	110059994	110061041	-	1859	110061041.0
ENSG00000258673	1	110082688	110082852	+	579	110082688.0
ENSG00000186150	1	110112468	110113945	+	1478	110112468.0
ENSG00000197106	1	110150486	110150883	+	6644	110150486.0
ENSG00000227091	1	110166186	110166314	-	997	110166314.0
ENSG00000235526	1	110177643	110178057	-	508	110178057.0
ENSG00000224965	1	110208834	110209204	-	748	110209204.0
ENSG00000116396	1	110211343	110212177	+	25042	110211343.0
ENSG00000282852	1	110256754	110256930	+	177	110256754.0
ENSG00000200536	1	110272484	110272607	+	124	110272484.0
ENSG00000227963	1	110286375	110288571	-	2611	110288571.0
ENSG00000162775	1	110338506	110342268	+	4670	110338506.0
ENSG00000224699	1	110347116	110347887	+	10755	110347116.0
ENSG00000168679	1	110362848	110363893	-	3167	110363893.0
ENSG00000273373	1	110370154	110373003	+	2850	110370154.0
ENSG00000134248	1	110401249	110401583	-	2388	110401583.0
ENSG00000143125	1	110451200	110451288	+	1338	110451200.0
ENSG00000270380	1	110456505	110456677	-	482	110456677.0
ENSG00000282887	1	110473943	110474082	+	413	110473943.0
ENSG00000240194	1	110480752	110480827	+	1263	110480752.0
ENSG00000235407	1	110487680	110489907	-	2351	110489907.0
ENSG00000143105	1	110517217	110519175	-	1959	110519175.0
ENSG00000177301	1	110593580	110593928	-	12344	110593928.0
ENSG00000259834	1	110653560	110657040	-	3481	110657040.0
ENSG00000177272	1	110672465	110675033	-	2569	110675033.0
ENSG00000199710	1	110764408	110764506	-	99	110764506.0
ENSG00000237415	1	110848077	110848941	-	865	110848941.0
